"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"2349","all","X635","dich","a1",2349,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23491","all","X635","dich","a2",2349,1.24304069974454,-Inf,Inf,TRUE,"none",NA,NA
"23492","all","X635","dich","a3",2349,0.929959842741249,-Inf,Inf,TRUE,"none",NA,NA
"2350","all","X635","dich","d",2350,4.9041405715597,-Inf,Inf,TRUE,"none",NA,NA
"2351","all","X635","dich","g",2351,0,0,1,FALSE,"none",NA,NA
"2352","all","X635","dich","u",2352,1,0,1,FALSE,"none",NA,NA
"2353","all","X637","dich","a1",2353,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23531","all","X637","dich","a2",2353,0.13041206433191,-Inf,Inf,TRUE,"none",NA,NA
"23532","all","X637","dich","a3",2353,-0.651336860097719,-Inf,Inf,TRUE,"none",NA,NA
"2354","all","X637","dich","d",2354,4.12639931140329,-Inf,Inf,TRUE,"none",NA,NA
"2355","all","X637","dich","g",2355,0,0,1,FALSE,"none",NA,NA
"2356","all","X637","dich","u",2356,1,0,1,FALSE,"none",NA,NA
"2357","all","X638","dich","a1",2357,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23571","all","X638","dich","a2",2357,0.0515762105880619,-Inf,Inf,TRUE,"none",NA,NA
"23572","all","X638","dich","a3",2357,0.0268468991863524,-Inf,Inf,TRUE,"none",NA,NA
"2358","all","X638","dich","d",2358,5.77259898905453,-Inf,Inf,TRUE,"none",NA,NA
"2359","all","X638","dich","g",2359,0,0,1,FALSE,"none",NA,NA
"2360","all","X638","dich","u",2360,1,0,1,FALSE,"none",NA,NA
"2361","all","X639","dich","a1",2361,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23611","all","X639","dich","a2",2361,-0.0461546803937336,-Inf,Inf,TRUE,"none",NA,NA
"23612","all","X639","dich","a3",2361,-0.663704946093403,-Inf,Inf,TRUE,"none",NA,NA
"2362","all","X639","dich","d",2362,4.60179377549661,-Inf,Inf,TRUE,"none",NA,NA
"2363","all","X639","dich","g",2363,0,0,1,FALSE,"none",NA,NA
"2364","all","X639","dich","u",2364,1,0,1,FALSE,"none",NA,NA
"2365","all","X640","dich","a1",2365,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23651","all","X640","dich","a2",2365,0.196253015288379,-Inf,Inf,TRUE,"none",NA,NA
"23652","all","X640","dich","a3",2365,-0.793999096726081,-Inf,Inf,TRUE,"none",NA,NA
"2366","all","X640","dich","d",2366,4.5892395064628,-Inf,Inf,TRUE,"none",NA,NA
"2367","all","X640","dich","g",2367,0,0,1,FALSE,"none",NA,NA
"2368","all","X640","dich","u",2368,1,0,1,FALSE,"none",NA,NA
"2369","all","X645","dich","a1",2369,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23691","all","X645","dich","a2",2369,-0.975986113191146,-Inf,Inf,TRUE,"none",NA,NA
"23692","all","X645","dich","a3",2369,0.46233854159618,-Inf,Inf,TRUE,"none",NA,NA
"2370","all","X645","dich","d",2370,5.77259898905453,-Inf,Inf,TRUE,"none",NA,NA
"23711","all","X645","dich","g",2371,0,0,1,FALSE,"none",NA,NA
"23721","all","X645","dich","u",2372,1,0,1,FALSE,"none",NA,NA
"2373","all","X647","dich","a1",2373,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23731","all","X647","dich","a2",2373,0.587722781486426,-Inf,Inf,TRUE,"none",NA,NA
"23732","all","X647","dich","a3",2373,0.465423598026432,-Inf,Inf,TRUE,"none",NA,NA
"2374","all","X647","dich","d",2374,3.60127479219083,-Inf,Inf,TRUE,"none",NA,NA
"2375","all","X647","dich","g",2375,0,0,1,FALSE,"none",NA,NA
"2376","all","X647","dich","u",2376,1,0,1,FALSE,"none",NA,NA
"2377","all","X648","dich","a1",2377,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23771","all","X648","dich","a2",2377,-0.85249984888306,-Inf,Inf,TRUE,"none",NA,NA
"23772","all","X648","dich","a3",2377,-0.695607088890714,-Inf,Inf,TRUE,"none",NA,NA
"2378","all","X648","dich","d",2378,2.25920208917439,-Inf,Inf,TRUE,"none",NA,NA
"2379","all","X648","dich","g",2379,0,0,1,FALSE,"none",NA,NA
"2380","all","X648","dich","u",2380,1,0,1,FALSE,"none",NA,NA
"2381","all","X649","dich","a1",2381,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23811","all","X649","dich","a2",2381,1.41903826165696,-Inf,Inf,TRUE,"none",NA,NA
"23812","all","X649","dich","a3",2381,0.452599349477421,-Inf,Inf,TRUE,"none",NA,NA
"2382","all","X649","dich","d",2382,6.30982663194729,-Inf,Inf,TRUE,"none",NA,NA
"2383","all","X649","dich","g",2383,0,0,1,FALSE,"none",NA,NA
"2384","all","X649","dich","u",2384,1,0,1,FALSE,"none",NA,NA
"2385","all","X650","dich","a1",2385,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23851","all","X650","dich","a2",2385,0.105421632587203,-Inf,Inf,TRUE,"none",NA,NA
"23852","all","X650","dich","a3",2385,0.11174666508294,-Inf,Inf,TRUE,"none",NA,NA
"2386","all","X650","dich","d",2386,4.83394950468794,-Inf,Inf,TRUE,"none",NA,NA
"2387","all","X650","dich","g",2387,0,0,1,FALSE,"none",NA,NA
"2388","all","X650","dich","u",2388,1,0,1,FALSE,"none",NA,NA
"2389","all","X652","dich","a1",2389,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23891","all","X652","dich","a2",2389,-0.494166921161622,-Inf,Inf,TRUE,"none",NA,NA
"23892","all","X652","dich","a3",2389,0.141005587774592,-Inf,Inf,TRUE,"none",NA,NA
"2390","all","X652","dich","d",2390,5.98660997791425,-Inf,Inf,TRUE,"none",NA,NA
"2391","all","X652","dich","g",2391,0,0,1,FALSE,"none",NA,NA
"2392","all","X652","dich","u",2392,1,0,1,FALSE,"none",NA,NA
"2393","all","X653","dich","a1",2393,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23931","all","X653","dich","a2",2393,-0.925382808822448,-Inf,Inf,TRUE,"none",NA,NA
"23932","all","X653","dich","a3",2393,0.668910668874798,-Inf,Inf,TRUE,"none",NA,NA
"2394","all","X653","dich","d",2394,3.05123421888155,-Inf,Inf,TRUE,"none",NA,NA
"2395","all","X653","dich","g",2395,0,0,1,FALSE,"none",NA,NA
"2396","all","X653","dich","u",2396,1,0,1,FALSE,"none",NA,NA
"2397","all","X656","dich","a1",2397,0.851,-Inf,Inf,TRUE,"none",NA,NA
"23971","all","X656","dich","a2",2397,0.386838832802861,-Inf,Inf,TRUE,"none",NA,NA
"23972","all","X656","dich","a3",2397,0.826954917471764,-Inf,Inf,TRUE,"none",NA,NA
"2398","all","X656","dich","d",2398,5.0667919814542,-Inf,Inf,TRUE,"none",NA,NA
"2399","all","X656","dich","g",2399,0,0,1,FALSE,"none",NA,NA
"2400","all","X656","dich","u",2400,1,0,1,FALSE,"none",NA,NA
"2401","all","X659","dich","a1",2401,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24011","all","X659","dich","a2",2401,0.483542075394308,-Inf,Inf,TRUE,"none",NA,NA
"24012","all","X659","dich","a3",2401,-0.724874451961046,-Inf,Inf,TRUE,"none",NA,NA
"2402","all","X659","dich","d",2402,5.77259898905453,-Inf,Inf,TRUE,"none",NA,NA
"2403","all","X659","dich","g",2403,0,0,1,FALSE,"none",NA,NA
"2404","all","X659","dich","u",2404,1,0,1,FALSE,"none",NA,NA
"2405","all","X661","dich","a1",2405,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24051","all","X661","dich","a2",2405,0.376750752053066,-Inf,Inf,TRUE,"none",NA,NA
"24052","all","X661","dich","a3",2405,0.606515064456409,-Inf,Inf,TRUE,"none",NA,NA
"2406","all","X661","dich","d",2406,3.40567844241517,-Inf,Inf,TRUE,"none",NA,NA
"2407","all","X661","dich","g",2407,0,0,1,FALSE,"none",NA,NA
"2408","all","X661","dich","u",2408,1,0,1,FALSE,"none",NA,NA
"2409","all","X662","dich","a1",2409,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24091","all","X662","dich","a2",2409,-0.523750708651258,-Inf,Inf,TRUE,"none",NA,NA
"24092","all","X662","dich","a3",2409,-1.13921293344552,-Inf,Inf,TRUE,"none",NA,NA
"2410","all","X662","dich","d",2410,4.30529351634815,-Inf,Inf,TRUE,"none",NA,NA
"24111","all","X662","dich","g",2411,0,0,1,FALSE,"none",NA,NA
"24121","all","X662","dich","u",2412,1,0,1,FALSE,"none",NA,NA
"2413","all","X663","dich","a1",2413,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24131","all","X663","dich","a2",2413,0.272797340119505,-Inf,Inf,TRUE,"none",NA,NA
"24132","all","X663","dich","a3",2413,0.0902717471021782,-Inf,Inf,TRUE,"none",NA,NA
"2414","all","X663","dich","d",2414,3.98264924149484,-Inf,Inf,TRUE,"none",NA,NA
"2415","all","X663","dich","g",2415,0,0,1,FALSE,"none",NA,NA
"2416","all","X663","dich","u",2416,1,0,1,FALSE,"none",NA,NA
"2417","all","X664","dich","a1",2417,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24171","all","X664","dich","a2",2417,0.722622413440899,-Inf,Inf,TRUE,"none",NA,NA
"24172","all","X664","dich","a3",2417,0.327736500286052,-Inf,Inf,TRUE,"none",NA,NA
"2418","all","X664","dich","d",2418,6.07711175106402,-Inf,Inf,TRUE,"none",NA,NA
"2419","all","X664","dich","g",2419,0,0,1,FALSE,"none",NA,NA
"2420","all","X664","dich","u",2420,1,0,1,FALSE,"none",NA,NA
"2421","all","X665","dich","a1",2421,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24211","all","X665","dich","a2",2421,0.366148919011966,-Inf,Inf,TRUE,"none",NA,NA
"24212","all","X665","dich","a3",2421,-0.32325313175309,-Inf,Inf,TRUE,"none",NA,NA
"2422","all","X665","dich","d",2422,5.61079422130774,-Inf,Inf,TRUE,"none",NA,NA
"2423","all","X665","dich","g",2423,0,0,1,FALSE,"none",NA,NA
"2424","all","X665","dich","u",2424,1,0,1,FALSE,"none",NA,NA
"2425","all","X666","dich","a1",2425,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24251","all","X666","dich","a2",2425,0.634250999100403,-Inf,Inf,TRUE,"none",NA,NA
"24252","all","X666","dich","a3",2425,0.127330397126281,-Inf,Inf,TRUE,"none",NA,NA
"2426","all","X666","dich","d",2426,6.69135208375702,-Inf,Inf,TRUE,"none",NA,NA
"2427","all","X666","dich","g",2427,0,0,1,FALSE,"none",NA,NA
"2428","all","X666","dich","u",2428,1,0,1,FALSE,"none",NA,NA
"2429","all","X667","dich","a1",2429,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24291","all","X667","dich","a2",2429,-0.371863306302911,-Inf,Inf,TRUE,"none",NA,NA
"24292","all","X667","dich","a3",2429,0.56262579361572,-Inf,Inf,TRUE,"none",NA,NA
"2430","all","X667","dich","d",2430,4.85092435364643,-Inf,Inf,TRUE,"none",NA,NA
"2431","all","X667","dich","g",2431,0,0,1,FALSE,"none",NA,NA
"2432","all","X667","dich","u",2432,1,0,1,FALSE,"none",NA,NA
"2433","all","X668","dich","a1",2433,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24331","all","X668","dich","a2",2433,0.50597816988896,-Inf,Inf,TRUE,"none",NA,NA
"24332","all","X668","dich","a3",2433,0.679475695612006,-Inf,Inf,TRUE,"none",NA,NA
"2434","all","X668","dich","d",2434,5.98660997791425,-Inf,Inf,TRUE,"none",NA,NA
"2435","all","X668","dich","g",2435,0,0,1,FALSE,"none",NA,NA
"2436","all","X668","dich","u",2436,1,0,1,FALSE,"none",NA,NA
"2437","all","X669","dich","a1",2437,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24371","all","X669","dich","a2",2437,-0.456512446301511,-Inf,Inf,TRUE,"none",NA,NA
"24372","all","X669","dich","a3",2437,0.568730290949652,-Inf,Inf,TRUE,"none",NA,NA
"2438","all","X669","dich","d",2438,6.30982663194729,-Inf,Inf,TRUE,"none",NA,NA
"2439","all","X669","dich","g",2439,0,0,1,FALSE,"none",NA,NA
"2440","all","X669","dich","u",2440,1,0,1,FALSE,"none",NA,NA
"2441","all","X670","dich","a1",2441,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24411","all","X670","dich","a2",2441,-0.142393313267086,-Inf,Inf,TRUE,"none",NA,NA
"24412","all","X670","dich","a3",2441,-0.555688682015715,-Inf,Inf,TRUE,"none",NA,NA
"2442","all","X670","dich","d",2442,5.98660997791425,-Inf,Inf,TRUE,"none",NA,NA
"2443","all","X670","dich","g",2443,0,0,1,FALSE,"none",NA,NA
"2444","all","X670","dich","u",2444,1,0,1,FALSE,"none",NA,NA
"2445","all","X671","dich","a1",2445,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24451","all","X671","dich","a2",2445,-0.560230423896838,-Inf,Inf,TRUE,"none",NA,NA
"24452","all","X671","dich","a3",2445,-0.396829088907648,-Inf,Inf,TRUE,"none",NA,NA
"2446","all","X671","dich","d",2446,3.78723022572542,-Inf,Inf,TRUE,"none",NA,NA
"2447","all","X671","dich","g",2447,0,0,1,FALSE,"none",NA,NA
"2448","all","X671","dich","u",2448,1,0,1,FALSE,"none",NA,NA
"2449","all","X673","dich","a1",2449,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24491","all","X673","dich","a2",2449,0.0489015906200092,-Inf,Inf,TRUE,"none",NA,NA
"24492","all","X673","dich","a3",2449,-0.618916629219938,-Inf,Inf,TRUE,"none",NA,NA
"2450","all","X673","dich","d",2450,2.80857895811432,-Inf,Inf,TRUE,"none",NA,NA
"24511","all","X673","dich","g",2451,0,0,1,FALSE,"none",NA,NA
"24521","all","X673","dich","u",2452,1,0,1,FALSE,"none",NA,NA
"2453","all","X674","dich","a1",2453,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24531","all","X674","dich","a2",2453,-0.296062006535759,-Inf,Inf,TRUE,"none",NA,NA
"24532","all","X674","dich","a3",2453,-0.157883535469727,-Inf,Inf,TRUE,"none",NA,NA
"2454","all","X674","dich","d",2454,3.42041680268646,-Inf,Inf,TRUE,"none",NA,NA
"2455","all","X674","dich","g",2455,0,0,1,FALSE,"none",NA,NA
"2456","all","X674","dich","u",2456,1,0,1,FALSE,"none",NA,NA
"2457","all","X678","dich","a1",2457,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24571","all","X678","dich","a2",2457,0.260468165743456,-Inf,Inf,TRUE,"none",NA,NA
"24572","all","X678","dich","a3",2457,0.145662255000544,-Inf,Inf,TRUE,"none",NA,NA
"2458","all","X678","dich","d",2458,4.66755854387947,-Inf,Inf,TRUE,"none",NA,NA
"2459","all","X678","dich","g",2459,0,0,1,FALSE,"none",NA,NA
"2460","all","X678","dich","u",2460,1,0,1,FALSE,"none",NA,NA
"2461","all","X679","dich","a1",2461,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24611","all","X679","dich","a2",2461,0.782244428713362,-Inf,Inf,TRUE,"none",NA,NA
"24612","all","X679","dich","a3",2461,0.2413023755406,-Inf,Inf,TRUE,"none",NA,NA
"2462","all","X679","dich","d",2462,7.05473474552927,-Inf,Inf,TRUE,"none",NA,NA
"2463","all","X679","dich","g",2463,0,0,1,FALSE,"none",NA,NA
"2464","all","X679","dich","u",2464,1,0,1,FALSE,"none",NA,NA
"2465","all","X680","dich","a1",2465,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24651","all","X680","dich","a2",2465,0.194149158337619,-Inf,Inf,TRUE,"none",NA,NA
"24652","all","X680","dich","a3",2465,-0.183392014600829,-Inf,Inf,TRUE,"none",NA,NA
"2466","all","X680","dich","d",2466,4.96121564192969,-Inf,Inf,TRUE,"none",NA,NA
"2467","all","X680","dich","g",2467,0,0,1,FALSE,"none",NA,NA
"2468","all","X680","dich","u",2468,1,0,1,FALSE,"none",NA,NA
"2469","all","X681","dich","a1",2469,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24691","all","X681","dich","a2",2469,-0.0389082164778366,-Inf,Inf,TRUE,"none",NA,NA
"24692","all","X681","dich","a3",2469,-0.219409952316572,-Inf,Inf,TRUE,"none",NA,NA
"2470","all","X681","dich","d",2470,6.30982663194729,-Inf,Inf,TRUE,"none",NA,NA
"2471","all","X681","dich","g",2471,0,0,1,FALSE,"none",NA,NA
"2472","all","X681","dich","u",2472,1,0,1,FALSE,"none",NA,NA
"2473","all","X682","dich","a1",2473,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24731","all","X682","dich","a2",2473,0.285107055538085,-Inf,Inf,TRUE,"none",NA,NA
"24732","all","X682","dich","a3",2473,-0.149841976739252,-Inf,Inf,TRUE,"none",NA,NA
"2474","all","X682","dich","d",2474,7.05473474552927,-Inf,Inf,TRUE,"none",NA,NA
"2475","all","X682","dich","g",2475,0,0,1,FALSE,"none",NA,NA
"2476","all","X682","dich","u",2476,1,0,1,FALSE,"none",NA,NA
"2477","all","X685","dich","a1",2477,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24771","all","X685","dich","a2",2477,-0.396050640269503,-Inf,Inf,TRUE,"none",NA,NA
"24772","all","X685","dich","a3",2477,0.260689434584709,-Inf,Inf,TRUE,"none",NA,NA
"2478","all","X685","dich","d",2478,5.44120229598408,-Inf,Inf,TRUE,"none",NA,NA
"2479","all","X685","dich","g",2479,0,0,1,FALSE,"none",NA,NA
"2480","all","X685","dich","u",2480,1,0,1,FALSE,"none",NA,NA
"2481","all","X687","dich","a1",2481,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24811","all","X687","dich","a2",2481,0.391166004782909,-Inf,Inf,TRUE,"none",NA,NA
"24812","all","X687","dich","a3",2481,0.359369461185901,-Inf,Inf,TRUE,"none",NA,NA
"2482","all","X687","dich","d",2482,6.69135208375702,-Inf,Inf,TRUE,"none",NA,NA
"2483","all","X687","dich","g",2483,0,0,1,FALSE,"none",NA,NA
"2484","all","X687","dich","u",2484,1,0,1,FALSE,"none",NA,NA
"2485","all","X688","dich","a1",2485,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24851","all","X688","dich","a2",2485,-1.06693442604553,-Inf,Inf,TRUE,"none",NA,NA
"24852","all","X688","dich","a3",2485,0.080314566613856,-Inf,Inf,TRUE,"none",NA,NA
"2486","all","X688","dich","d",2486,3.65047645711575,-Inf,Inf,TRUE,"none",NA,NA
"2487","all","X688","dich","g",2487,0,0,1,FALSE,"none",NA,NA
"2488","all","X688","dich","u",2488,1,0,1,FALSE,"none",NA,NA
"2489","all","X691","dich","a1",2489,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24891","all","X691","dich","a2",2489,-0.188486080782159,-Inf,Inf,TRUE,"none",NA,NA
"24892","all","X691","dich","a3",2489,0.166753070222773,-Inf,Inf,TRUE,"none",NA,NA
"2490","all","X691","dich","d",2490,4.40001607939715,-Inf,Inf,TRUE,"none",NA,NA
"24911","all","X691","dich","g",2491,0,0,1,FALSE,"none",NA,NA
"24921","all","X691","dich","u",2492,1,0,1,FALSE,"none",NA,NA
"2493","all","X692","dich","a1",2493,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24931","all","X692","dich","a2",2493,0.0167361845082095,-Inf,Inf,TRUE,"none",NA,NA
"24932","all","X692","dich","a3",2493,-0.478239426477811,-Inf,Inf,TRUE,"none",NA,NA
"2494","all","X692","dich","d",2494,4.24448951853832,-Inf,Inf,TRUE,"none",NA,NA
"2495","all","X692","dich","g",2495,0,0,1,FALSE,"none",NA,NA
"2496","all","X692","dich","u",2496,1,0,1,FALSE,"none",NA,NA
"2497","all","X694","dich","a1",2497,0.851,-Inf,Inf,TRUE,"none",NA,NA
"24971","all","X694","dich","a2",2497,0.333234990779221,-Inf,Inf,TRUE,"none",NA,NA
"24972","all","X694","dich","a3",2497,-0.367907550796284,-Inf,Inf,TRUE,"none",NA,NA
"2498","all","X694","dich","d",2498,4.09728766308697,-Inf,Inf,TRUE,"none",NA,NA
"2499","all","X694","dich","g",2499,0,0,1,FALSE,"none",NA,NA
"2500","all","X694","dich","u",2500,1,0,1,FALSE,"none",NA,NA
"2501","all","X695","dich","a1",2501,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25011","all","X695","dich","a2",2501,-0.579430625797649,-Inf,Inf,TRUE,"none",NA,NA
"25012","all","X695","dich","a3",2501,0.622348576074756,-Inf,Inf,TRUE,"none",NA,NA
"2502","all","X695","dich","d",2502,4.34197936358704,-Inf,Inf,TRUE,"none",NA,NA
"2503","all","X695","dich","g",2503,0,0,1,FALSE,"none",NA,NA
"2504","all","X695","dich","u",2504,1,0,1,FALSE,"none",NA,NA
"2505","all","X696","dich","a1",2505,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25051","all","X696","dich","a2",2505,-0.376287504921189,-Inf,Inf,TRUE,"none",NA,NA
"25052","all","X696","dich","a3",2505,-0.753996129353826,-Inf,Inf,TRUE,"none",NA,NA
"2506","all","X696","dich","d",2506,6.47054624387976,-Inf,Inf,TRUE,"none",NA,NA
"2507","all","X696","dich","g",2507,0,0,1,FALSE,"none",NA,NA
"2508","all","X696","dich","u",2508,1,0,1,FALSE,"none",NA,NA
"2509","all","X697","dich","a1",2509,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25091","all","X697","dich","a2",2509,-0.39997321794114,-Inf,Inf,TRUE,"none",NA,NA
"25092","all","X697","dich","a3",2509,-0.286156234083547,-Inf,Inf,TRUE,"none",NA,NA
"2510","all","X697","dich","d",2510,4.47296860338252,-Inf,Inf,TRUE,"none",NA,NA
"25111","all","X697","dich","g",2511,0,0,1,FALSE,"none",NA,NA
"2512","all","X697","dich","u",2512,1,0,1,FALSE,"none",NA,NA
"2513","all","X700","dich","a1",2513,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25131","all","X700","dich","a2",2513,0.154258260186041,-Inf,Inf,TRUE,"none",NA,NA
"25132","all","X700","dich","a3",2513,0.39029445189013,-Inf,Inf,TRUE,"none",NA,NA
"2514","all","X700","dich","d",2514,4.37052135994432,-Inf,Inf,TRUE,"none",NA,NA
"2515","all","X700","dich","g",2515,0,0,1,FALSE,"none",NA,NA
"2516","all","X700","dich","u",2516,1,0,1,FALSE,"none",NA,NA
"2517","all","X702","dich","a1",2517,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25171","all","X702","dich","a2",2517,0.0937776746592714,-Inf,Inf,TRUE,"none",NA,NA
"25172","all","X702","dich","a3",2517,-0.0438776257533164,-Inf,Inf,TRUE,"none",NA,NA
"2518","all","X702","dich","d",2518,5.66057019870577,-Inf,Inf,TRUE,"none",NA,NA
"2519","all","X702","dich","g",2519,0,0,1,FALSE,"none",NA,NA
"2520","all","X702","dich","u",2520,1,0,1,FALSE,"none",NA,NA
"25211","all","X704","dich","a1",2521,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25212","all","X704","dich","a2",2521,-0.0680982702954363,-Inf,Inf,TRUE,"none",NA,NA
"25213","all","X704","dich","a3",2521,-0.705693861609876,-Inf,Inf,TRUE,"none",NA,NA
"2522","all","X704","dich","d",2522,4.98120742490167,-Inf,Inf,TRUE,"none",NA,NA
"2523","all","X704","dich","g",2523,0,0,1,FALSE,"none",NA,NA
"2524","all","X704","dich","u",2524,1,0,1,FALSE,"none",NA,NA
"2525","all","X705","dich","a1",2525,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25251","all","X705","dich","a2",2525,-0.307057446156482,-Inf,Inf,TRUE,"none",NA,NA
"25252","all","X705","dich","a3",2525,-0.155728245189061,-Inf,Inf,TRUE,"none",NA,NA
"2526","all","X705","dich","d",2526,5.98660997791425,-Inf,Inf,TRUE,"none",NA,NA
"2527","all","X705","dich","g",2527,0,0,1,FALSE,"none",NA,NA
"2528","all","X705","dich","u",2528,1,0,1,FALSE,"none",NA,NA
"2529","all","X706","dich","a1",2529,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25291","all","X706","dich","a2",2529,0.157600180043449,-Inf,Inf,TRUE,"none",NA,NA
"25292","all","X706","dich","a3",2529,0.382862369050845,-Inf,Inf,TRUE,"none",NA,NA
"2530","all","X706","dich","d",2530,7.05473474552927,-Inf,Inf,TRUE,"none",NA,NA
"25311","all","X706","dich","g",2531,0,0,1,FALSE,"none",NA,NA
"25321","all","X706","dich","u",2532,1,0,1,FALSE,"none",NA,NA
"2533","all","X707","dich","a1",2533,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25331","all","X707","dich","a2",2533,-0.0295909561424549,-Inf,Inf,TRUE,"none",NA,NA
"25332","all","X707","dich","a3",2533,0.661037591600819,-Inf,Inf,TRUE,"none",NA,NA
"2534","all","X707","dich","d",2534,3.69728112348562,-Inf,Inf,TRUE,"none",NA,NA
"2535","all","X707","dich","g",2535,0,0,1,FALSE,"none",NA,NA
"2536","all","X707","dich","u",2536,1,0,1,FALSE,"none",NA,NA
"2537","all","X708","dich","a1",2537,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25371","all","X708","dich","a2",2537,-0.310888766957794,-Inf,Inf,TRUE,"none",NA,NA
"25372","all","X708","dich","a3",2537,-0.707273621735943,-Inf,Inf,TRUE,"none",NA,NA
"2538","all","X708","dich","d",2538,3.11259262130246,-Inf,Inf,TRUE,"none",NA,NA
"2539","all","X708","dich","g",2539,0,0,1,FALSE,"none",NA,NA
"2540","all","X708","dich","u",2540,1,0,1,FALSE,"none",NA,NA
"2541","all","X709","dich","a1",2541,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25411","all","X709","dich","a2",2541,0.775582789613159,-Inf,Inf,TRUE,"none",NA,NA
"25412","all","X709","dich","a3",2541,-0.234430684878417,-Inf,Inf,TRUE,"none",NA,NA
"2542","all","X709","dich","d",2542,4.25292968558469,-Inf,Inf,TRUE,"none",NA,NA
"2543","all","X709","dich","g",2543,0,0,1,FALSE,"none",NA,NA
"2544","all","X709","dich","u",2544,1,0,1,FALSE,"none",NA,NA
"2545","all","X710","dich","a1",2545,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25451","all","X710","dich","a2",2545,-0.801059102476971,-Inf,Inf,TRUE,"none",NA,NA
"25452","all","X710","dich","a3",2545,-0.712757833116417,-Inf,Inf,TRUE,"none",NA,NA
"2546","all","X710","dich","d",2546,4.80104369766825,-Inf,Inf,TRUE,"none",NA,NA
"2547","all","X710","dich","g",2547,0,0,1,FALSE,"none",NA,NA
"2548","all","X710","dich","u",2548,1,0,1,FALSE,"none",NA,NA
"2549","all","X711","dich","a1",2549,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25491","all","X711","dich","a2",2549,0.643414235619153,-Inf,Inf,TRUE,"none",NA,NA
"25492","all","X711","dich","a3",2549,-0.608604720544554,-Inf,Inf,TRUE,"none",NA,NA
"2550","all","X711","dich","d",2550,4.65398326546858,-Inf,Inf,TRUE,"none",NA,NA
"2551","all","X711","dich","g",2551,0,0,1,FALSE,"none",NA,NA
"2552","all","X711","dich","u",2552,1,0,1,FALSE,"none",NA,NA
"2553","all","X712","dich","a1",2553,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25531","all","X712","dich","a2",2553,-0.181160047399545,-Inf,Inf,TRUE,"none",NA,NA
"25532","all","X712","dich","a3",2553,0.340802341853967,-Inf,Inf,TRUE,"none",NA,NA
"2554","all","X712","dich","d",2554,7.05473474552927,-Inf,Inf,TRUE,"none",NA,NA
"2555","all","X712","dich","g",2555,0,0,1,FALSE,"none",NA,NA
"2556","all","X712","dich","u",2556,1,0,1,FALSE,"none",NA,NA
"2557","all","X714","dich","a1",2557,0.851,-Inf,Inf,TRUE,"none",NA,NA
"25571","all","X714","dich","a2",2557,-0.49409504270286,-Inf,Inf,TRUE,"none",NA,NA
