"lambda1","lambda2","ndim","iteration","sparsity","rmse","bias"
0,0,3,11,0.9,0.128712459358365,-0.000166743266171042
0,0,3,11,0.95,0.167987167595045,-0.00118071782615058
0,0,3,12,0.85,0.110367893586643,-0.000372546030818609
0,0,3,12,0.9,0.127977081387154,-0.000609850272021976
0,0,3,12,0.95,0.166424090103949,-0.00117627122120007
0,0,3,13,0.85,0.110665761961848,-0.000136355327538699
0,0,3,13,0.9,0.12682673443316,0.00040240857960629
0,0,3,13,0.95,0.166808165146203,0.00342213532925227
0,0,3,14,0.85,0.111199188599417,-0.00086750830445001
0,0,3,14,0.9,0.130316445955129,-0.00132390429170456
0,0,3,14,0.95,0.168790333270147,0.000492176097471842
0,0,3,15,0.85,0.111426399514922,-0.000163994228139276
0,0,3,15,0.9,0.12735845465117,0.000231128277244607
0,0,3,15,0.95,0.168521277927448,-0.000864949964296498
0,0,3,16,0.85,0.111428429920246,-0.00101682168851411
0,0,3,16,0.9,0.129105932629962,0.000868755775076638
0,0,3,16,0.95,0.170465780208262,0.000180663912489032
0,0,3,17,0.85,0.111157862750262,0.000465697695161443
0,0,3,17,0.9,0.129561263350013,-0.000131975428611812
0,0,3,17,0.95,0.167854821670124,0.00143465999677112
0,0,3,18,0.85,0.109612729797763,-3.06042659732171e-05
0,0,3,18,0.9,0.12874761366105,-2.47166797247173e-05
0,0,3,18,0.95,0.167388262568271,-0.000164088338282013
0,0,3,19,0.85,0.111651575695471,0.00146403248783162
0,0,3,19,0.9,0.129323643567398,-0.000851183617983325
0,0,3,19,0.95,0.169946403052043,0.000213310073288242
0,0,3,2,0.85,0.110395677136894,0.000557443674059896
0,0,3,2,0.9,0.127666949561938,-0.00115488843115019
0,0,3,2,0.95,0.168057892412792,-0.000387946655810461
0,0,3,20,0.85,0.110148655206047,-0.000829280949895404
0,0,3,20,0.9,0.128444051021547,0.000888118403473095
0,0,3,20,0.95,0.48502749342717,0.00237211979326368
0,0,3,3,0.85,0.11081806201983,0.00044519538004513
0,0,3,3,0.9,0.127970410998952,9.66587905071555e-05
0,0,3,3,0.95,0.168521968222952,-6.32793015677494e-06
0,0,3,4,0.85,0.111280143124047,0.00148536092886914
0,0,3,4,0.9,0.128862905048129,-5.6905760268332e-06
0,0,3,4,0.95,0.167300755192176,-0.000393390401980359
0,0,3,5,0.85,0.110171102556684,0.00133019827820804
0,0,3,5,0.9,0.128241988506183,0.000637061156407455
0,0,3,5,0.95,0.167583278053088,-0.000903744801120465
0,0,3,6,0.85,0.112565248717809,0.000764248089137185
0,0,3,6,0.9,0.130349391105841,0.000234475256033555
0,0,3,6,0.95,0.166953690383128,-0.000225335638078899
0,0,3,7,0.85,0.110851483714075,-0.000333367957766985
0,0,3,7,0.9,0.128917925532958,0.00147180432103469
0,0,3,7,0.95,0.168068810810237,0.000347349623414872
0,0,3,8,0.85,0.109832738281733,-0.000253528869773572
0,0,3,8,0.9,0.128306981702249,6.06182915170161e-05
0,0,3,8,0.95,0.168371606392622,0.000348094274631217
0,0,3,9,0.85,0.109683492788493,0.000180563735529349
0,0,3,9,0.9,0.129280657673856,0.00131413092556137
0,0,3,9,0.95,0.168015786630825,-0.00175228295242464
0,0.3333333,1,1,0.9,0.09378299785159,0.000675547431532168
0,0.3333333,1,17,0.85,0.0777054163205568,-6.47621762312956e-05
0,0.3333333,1,18,0.85,0.0777564706258652,0.000212719280379107
0,0.3333333,1,19,0.85,0.0775127687830608,-0.000240128842204906
0,0.3333333,1,2,0.9,0.0931461221035053,0.000237997510655534
0,0.3333333,1,20,0.85,0.0776869637304999,0.000285505508344292
0,0.3333333,1,3,0.9,0.0936783248402002,0.000614573874605502
0,0.3333333,1,4,0.9,0.0939671431689231,0.000723404545177098
0,0.3333333,1,5,0.9,0.0932724464748974,3.33917917003449e-05
0,0.3333333,2,1,0.9,0.112782538549737,-0.000959474392141219
0,0.3333333,2,17,0.85,0.0953172892023122,-0.000442824362980338
0,0.3333333,2,18,0.85,0.0959162316943288,0.000365739310197789
0,0.3333333,2,19,0.85,0.0954569469128461,-0.000284336272772578
0,0.3333333,2,2,0.9,0.111424502381166,-0.0012503907501449
0,0.3333333,2,20,0.85,0.0950836074470743,-0.00021153974828274
0,0.3333333,2,3,0.9,0.112218920049995,-0.000835925119974281
0,0.3333333,2,4,0.9,0.112341659352886,-0.000223995604355286
0,0.3333333,2,5,0.9,0.112956467317923,-3.29371041658751e-05
0,0.3333333,3,1,0.9,0.127618141924147,0.0012251401084377
0,0.3333333,3,16,0.85,0.110715094792722,-0.00125345287249604
0,0.3333333,3,17,0.85,0.110382003812579,0.000422498393785136
0,0.3333333,3,18,0.85,0.110207252176005,0.000175591894202481
0,0.3333333,3,19,0.85,0.110879384917398,0.00132383490143298
0,0.3333333,3,2,0.9,0.126287374541651,-0.000954713114397618
0,0.3333333,3,20,0.85,0.109383647189158,-0.000798319685279808
0,0.3333333,3,3,0.9,0.126614419756751,0.000167251996062677
0,0.3333333,3,4,0.9,0.126580962114591,-2.14156482170423e-05
0,0.333333333333333,1,1,0.85,0.0775511528860286,-0.000116429193678161
0,0.333333333333333,1,1,0.95,0.124965149370248,0.000268964775885902
0,0.333333333333333,1,10,0.85,0.0781181499625304,-0.000432965221476893
0,0.333333333333333,1,10,0.9,0.0932672639067154,-0.000856898378361329
0,0.333333333333333,1,10,0.95,0.125161239657681,0.000634423660766224
0,0.333333333333333,1,11,0.85,0.078435509095843,-0.000265839163259829
0,0.333333333333333,1,11,0.9,0.0931960595234494,0.000887553780352151
0,0.333333333333333,1,11,0.95,0.125462025440522,7.27731425450776e-05
0,0.333333333333333,1,12,0.85,0.0775085359688805,-0.00076755961955664
0,0.333333333333333,1,12,0.9,0.0935315332489043,0.000346231569932813
0,0.333333333333333,1,12,0.95,0.124334039227093,-0.00109723820959779
0,0.333333333333333,1,13,0.85,0.0774656388330247,0.00118556597010581
0,0.333333333333333,1,13,0.9,0.0934736237612749,0.000266523186335668
0,0.333333333333333,1,13,0.95,0.124665713057845,0.00148166502527167
0,0.333333333333333,1,14,0.85,0.0782334836973693,-0.000461158915250774
0,0.333333333333333,1,14,0.9,0.0933808348601202,-0.000769064209765568
0,0.333333333333333,1,14,0.95,0.12476652615436,-0.00136389516699887
0,0.333333333333333,1,15,0.85,0.0778773096290216,-4.5396309092237e-05
0,0.333333333333333,1,15,0.9,0.0935590153695957,-0.000300736310833155
0,0.333333333333333,1,15,0.95,0.1237120554972,-0.000666340661833907
0,0.333333333333333,1,16,0.85,0.0776179331513606,0.000918534493493798
0,0.333333333333333,1,16,0.9,0.0937847845911496,-0.000988854777444078
0,0.333333333333333,1,16,0.95,0.124439515345424,0.000737480919878908
0,0.333333333333333,1,17,0.9,0.0945389919176524,-0.00116468572862962
0,0.333333333333333,1,17,0.95,0.124623995337606,-0.00066870931072766
0,0.333333333333333,1,18,0.9,0.0927819692381447,-0.000644454484637363
0,0.333333333333333,1,18,0.95,0.124979896752493,-0.00128106228921597
0,0.333333333333333,1,19,0.9,0.0947842388381517,0.00168260207828855
0,0.333333333333333,1,19,0.95,0.125726949930915,-0.00153244396067404
0,0.333333333333333,1,2,0.85,0.0785223527800112,-0.000559508095042572
0,0.333333333333333,1,2,0.95,0.124754494871124,-0.000592091147060999
0,0.333333333333333,1,20,0.9,0.0939789861878183,-0.000462319921572977
0,0.333333333333333,1,20,0.95,0.125455447923546,-0.000725390343713757
0,0.333333333333333,1,3,0.85,0.0779741177038025,-0.000580247748035478
0,0.333333333333333,1,3,0.95,0.124249976571732,9.74744685310806e-05
0,0.333333333333333,1,4,0.85,0.0775497270062952,-0.000457184658597537
0,0.333333333333333,1,4,0.95,0.124495085368346,-0.000938789759383456
0,0.333333333333333,1,5,0.85,0.0776770547270925,-0.000258121803541946
0,0.333333333333333,1,5,0.95,0.123180527120238,0.000921532582182303
0,0.333333333333333,1,6,0.85,0.0778670541358993,0.000141051570549052
0,0.333333333333333,1,6,0.9,0.0941758807779448,0.000425757248179124
0,0.333333333333333,1,6,0.95,0.12489661674832,0.000452270963702073
0,0.333333333333333,1,7,0.85,0.0780126740089403,-0.000293579879452077
0,0.333333333333333,1,7,0.9,0.0928644283997385,8.48243487877274e-05
0,0.333333333333333,1,7,0.95,0.124443183688567,0.00133159053400195
0,0.333333333333333,1,8,0.85,0.0784238365611714,-0.000371600644263613
0,0.333333333333333,1,8,0.9,0.0936497918276849,-0.00017893561803827
0,0.333333333333333,1,8,0.95,0.125078898175509,0.000380400116081943
0,0.333333333333333,1,9,0.85,0.0782433460974559,0.000179941938061573
0,0.333333333333333,1,9,0.9,0.0937767622117595,0.000521874135644974
0,0.333333333333333,1,9,0.95,0.125585772261984,-0.000422766909038197
0,0.333333333333333,2,1,0.85,0.0952973992468051,0.00060579775274532
0,0.333333333333333,2,1,0.95,0.14658485799102,0.000241370414527669
0,0.333333333333333,2,10,0.85,0.094428220710125,-0.000237447198423287
0,0.333333333333333,2,10,0.9,0.112214768725335,-0.00036412623066249
0,0.333333333333333,2,10,0.95,0.148395012052417,-0.000866761620704532
0,0.333333333333333,2,11,0.85,0.0955234265868503,0.000525443285049593
0,0.333333333333333,2,11,0.9,0.111928217629315,0.00114355428663877
0,0.333333333333333,2,11,0.95,0.148017915425371,-0.000648390203603498
0,0.333333333333333,2,12,0.85,0.096438808532864,0.000191146070660615
0,0.333333333333333,2,12,0.9,0.112088681956075,5.26996623588028e-05
0,0.333333333333333,2,12,0.95,0.148739002786757,0.000675811332405503
0,0.333333333333333,2,13,0.85,0.0947959582036033,-0.000184192165790302
0,0.333333333333333,2,13,0.9,0.11316123030213,-0.000142687756467825
0,0.333333333333333,2,13,0.95,0.147436963920552,0.00136136969009225
0,0.333333333333333,2,14,0.85,0.0958790837837913,0.000243359597855704
0,0.333333333333333,2,14,0.9,0.110616591144829,-0.000184286418981294
0,0.333333333333333,2,14,0.95,0.145870360257909,-0.000637452728184587
0,0.333333333333333,2,15,0.85,0.0959272496188073,0.000333807664405382
0,0.333333333333333,2,15,0.9,0.112375020156774,-0.000533146607135789
0,0.333333333333333,2,15,0.95,0.147493264303487,-0.0012180820185871
0,0.333333333333333,2,16,0.85,0.095993347911536,-0.000554918562005147
0,0.333333333333333,2,16,0.9,0.113882526749775,-0.000436850382720648
0,0.333333333333333,2,16,0.95,0.147896527909803,-0.000608225407721131
0,0.333333333333333,2,17,0.9,0.113571045315272,0.000625929199190093
0,0.333333333333333,2,17,0.95,0.146271552700768,-0.000190656574265003
0,0.333333333333333,2,18,0.9,0.112666747397463,-0.000106561304319473
0,0.333333333333333,2,18,0.95,0.145933336444172,-0.000833775777243435
0,0.333333333333333,2,19,0.9,0.11333871126643,0.000246188909795111
0,0.333333333333333,2,19,0.95,0.147456616897696,3.33200057674274e-05
0,0.333333333333333,2,2,0.85,0.0963359746867232,0.000965582490020629
0,0.333333333333333,2,2,0.95,0.148591511790351,-2.30370984527908e-05
0,0.333333333333333,2,20,0.9,0.112692805693542,0.00121803889645138
0,0.333333333333333,2,20,0.95,0.147976789715765,0.00084299246249978
0,0.333333333333333,2,3,0.85,0.0960631750372509,-0.00100163237840002
0,0.333333333333333,2,3,0.95,0.147513574475252,0.000762212377641837
0,0.333333333333333,2,4,0.85,0.0956790590835636,0.000470195558683356
0,0.333333333333333,2,4,0.95,0.147061886907394,-0.00189551300766593
0,0.333333333333333,2,5,0.85,0.0966258358256755,0.000751054289145426
0,0.333333333333333,2,5,0.95,0.146423781093038,-0.0020444472029878
0,0.333333333333333,2,6,0.85,0.0956580640044845,-0.000423056936889921
0,0.333333333333333,2,6,0.9,0.111592828496328,6.93992975742216e-05
0,0.333333333333333,2,6,0.95,0.146555976854396,-0.00182481009120338
0,0.333333333333333,2,7,0.85,0.0957364704010858,0.00129393258767035
0,0.333333333333333,2,7,0.9,0.112106776485112,-0.000455323225706922
0,0.333333333333333,2,7,0.95,0.147464547467904,-0.000721765974610413
0,0.333333333333333,2,8,0.85,0.0964309116790589,0.000197249702550006
0,0.333333333333333,2,8,0.9,0.113644243173721,-0.000455559274114588
0,0.333333333333333,2,8,0.95,0.148306315141902,-0.000994673049830504
0,0.333333333333333,2,9,0.85,0.0961086263666216,0.000513901588048618
0,0.333333333333333,2,9,0.9,0.111914952581554,0.00078032817499761
0,0.333333333333333,2,9,0.95,0.148836601030488,-0.000370349611370373
0,0.333333333333333,3,1,0.85,0.111047640516952,-0.000188888242644281
0,0.333333333333333,3,1,0.95,0.162461712990736,0.000971597714919584
0,0.333333333333333,3,10,0.85,0.109330919057817,-0.000339251503858128
0,0.333333333333333,3,10,0.9,0.127413853975866,-0.000726232446409065
0,0.333333333333333,3,10,0.95,0.16148676596883,0.00132395247501636
0,0.333333333333333,3,11,0.85,0.10975782377571,0.000446420551875502
0,0.333333333333333,3,11,0.9,0.127269648527238,-0.000139247506555821
0,0.333333333333333,3,11,0.95,0.162458488560149,-0.00105987912137922
0,0.333333333333333,3,12,0.85,0.109636200370736,-0.000243384813372626
0,0.333333333333333,3,12,0.9,0.125832419592774,-0.000509972602318917
0,0.333333333333333,3,12,0.95,0.161133066374615,-0.000820140067701936
0,0.333333333333333,3,13,0.85,0.109998271219099,-0.00013631344860081
0,0.333333333333333,3,13,0.9,0.125456245169159,0.000435749498767448
0,0.333333333333333,3,13,0.95,0.161678434386358,0.0026819774346756
0,0.333333333333333,3,14,0.85,0.110431511266093,-0.00083374180264707
0,0.333333333333333,3,14,0.9,0.127069522897779,-0.000260706219007816
0,0.333333333333333,3,14,0.95,0.163372152197541,0.000374137607849791
0,0.333333333333333,3,15,0.85,0.110668555421326,-9.27170796613916e-05
0,0.333333333333333,3,15,0.9,0.12589116235837,0.000193342198402223
0,0.333333333333333,3,15,0.95,0.163382393767066,-0.00101951861338252
0,0.333333333333333,3,16,0.9,0.127671380769517,0.000727292217005743
0,0.333333333333333,3,16,0.95,0.165182655375584,0.000386475965492309
0,0.333333333333333,3,17,0.9,0.127844579377077,-0.000116113090462021
0,0.333333333333333,3,17,0.95,0.162558342627262,0.000811175068967239
0,0.333333333333333,3,18,0.9,0.127270577863297,-7.92755892787211e-05
0,0.333333333333333,3,18,0.95,0.162094581376679,2.64725107814952e-05
0,0.333333333333333,3,19,0.9,0.127407056030033,-0.000667339346786829
0,0.333333333333333,3,19,0.95,0.164756940626904,0.000564831070284954
0,0.333333333333333,3,2,0.85,0.109680464071693,0.000585111595530205
0,0.333333333333333,3,2,0.95,0.162947934013529,-0.000194867844891312
0,0.333333333333333,3,20,0.9,0.12699327549984,0.000641914741112752
0,0.333333333333333,3,20,0.95,0.475720019890052,0.00214713712838403
0,0.333333333333333,3,3,0.85,0.110111186917977,0.000476618461233524
0,0.333333333333333,3,3,0.95,0.163517686133357,0.000208655962425901
0,0.333333333333333,3,4,0.85,0.110506339508914,0.00147232752358779
0,0.333333333333333,3,4,0.95,0.161957157822182,-0.000206081132426404
0,0.333333333333333,3,5,0.85,0.109400301411897,0.00121380663561085
0,0.333333333333333,3,5,0.9,0.126866037609029,0.000690603820660934
0,0.333333333333333,3,5,0.95,0.162625936177419,-0.000373686181848628
0,0.333333333333333,3,6,0.85,0.112246271667606,0.00071413861823675
0,0.333333333333333,3,6,0.9,0.128621092131805,0.000260363028200898
0,0.333333333333333,3,6,0.95,0.161843099294209,-0.000367749362820304
0,0.333333333333333,3,7,0.85,0.110084695494514,-0.000226728162895417
0,0.333333333333333,3,7,0.9,0.127434509814507,0.0012409736896206
0,0.333333333333333,3,7,0.95,0.162954296269586,0.000456189855324838
0,0.333333333333333,3,8,0.85,0.109063122952544,6.86721708032651e-05
0,0.333333333333333,3,8,0.9,0.126931577652748,4.80634172829781e-05
0,0.333333333333333,3,8,0.95,0.162714621927143,0.000105452806834672
0,0.333333333333333,3,9,0.85,0.108919506486609,-5.93187033322846e-05
0,0.333333333333333,3,9,0.9,0.127728467091437,0.00111469751888623
0,0.333333333333333,3,9,0.95,0.163358895838221,-0.00125412483574899
0,0.666666666666667,1,1,0.85,0.0774074594079428,2.33972791908698e-05
0,0.666666666666667,1,1,0.95,0.124340161385628,-0.000143911880175938
0,0.666666666666667,1,10,0.85,0.0779581049341877,-0.000352970921016861
0,0.666666666666667,1,10,0.9,0.0930151117588526,-0.000880389981057076
0,0.666666666666667,1,10,0.95,0.124504721634714,0.000815364545391214
0,0.666666666666667,1,11,0.85,0.078288691001134,-0.000260670520263522
0,0.666666666666667,1,11,0.9,0.0929654962322016,0.000803921393993595
0,0.666666666666667,1,11,0.95,0.124838734841101,0.000239037279631774
0,0.666666666666667,1,12,0.85,0.0773796427321783,-0.000760521367577411
0,0.666666666666667,1,12,0.9,0.0932529039182947,0.000444241519091668
0,0.666666666666667,1,12,0.95,0.12372902831244,-0.0010738467390895
0,0.666666666666667,1,13,0.85,0.0773554097301779,0.00120937099215663
0,0.666666666666667,1,13,0.9,0.0932375229167634,0.000364459016765029
0,0.666666666666667,1,13,0.95,0.12405131550206,0.00111380727403319
0,0.666666666666667,1,14,0.85,0.0780751853882159,-0.000444016027321655
0,0.666666666666667,1,14,0.9,0.0931057787743251,-0.000733482374045063
0,0.666666666666667,1,14,0.95,0.124118494007892,-0.0014804559455577
0,0.666666666666667,1,15,0.85,0.0777550643061205,-0.00017614210892801
0,0.666666666666667,1,15,0.9,0.0932960176760814,-0.000194457259515345
0,0.666666666666667,1,15,0.95,0.123072142645376,-0.000799918049031168
0,0.666666666666667,1,16,0.85,0.0774873026991447,0.00083304354460237
0,0.666666666666667,1,16,0.9,0.093500303343604,-0.000894624315015776
0,0.666666666666667,1,16,0.95,0.123964743533314,0.000781382513395544
0,0.666666666666667,1,17,0.9,0.0942914726333945,-0.00121199886720955
0,0.666666666666667,1,17,0.95,0.124000339236759,-0.000630917320444508
0,0.666666666666667,1,18,0.9,0.0925104019881093,-0.000446548268810951
0,0.666666666666667,1,18,0.95,0.124258143832873,-0.00130975128907471
0,0.666666666666667,1,19,0.9,0.0944773121797492,0.00147960154183127
0,0.666666666666667,1,19,0.95,0.125100952682065,-0.00176761917332582
0,0.666666666666667,1,2,0.85,0.0783994646761382,-0.000408036358704117
0,0.666666666666667,1,2,0.95,0.124130975619773,-0.000326755415398249
0,0.666666666666667,1,20,0.9,0.0937045417536235,-0.000320746678830057
0,0.666666666666667,1,20,0.95,0.124731122931232,-0.000733512623942681
0,0.666666666666667,1,3,0.85,0.077810423853216,-0.000470944696330625
0,0.666666666666667,1,3,0.95,0.123656421550249,0.000154642911123584
0,0.666666666666667,1,4,0.85,0.0774199438893642,-0.000294127361600945
0,0.666666666666667,1,4,0.95,0.123919281860247,-0.00119004903677393
0,0.666666666666667,1,5,0.85,0.0775469860204654,-0.000339602611635296
0,0.666666666666667,1,5,0.95,0.122576489446183,0.000875194747668452
0,0.666666666666667,1,6,0.85,0.0777069999422938,0.000205552195965101
0,0.666666666666667,1,6,0.9,0.0939543846126936,0.000277948895704665
0,0.666666666666667,1,6,0.95,0.124320165805232,0.000459235817613154
0,0.666666666666667,1,7,0.85,0.0778649538957929,-0.000274039361154243
0,0.666666666666667,1,7,0.9,0.0926264500644474,6.80533196651718e-06
0,0.666666666666667,1,7,0.95,0.123787288851714,0.00106025200992061
0,0.666666666666667,1,8,0.85,0.078267003208148,-0.00027215100848504
0,0.666666666666667,1,8,0.9,0.0934115259812241,-9.976996920468e-05
0,0.666666666666667,1,8,0.95,0.124437331077459,0.000315859315467537
0,0.666666666666667,1,9,0.85,0.0781094816266261,0.000211125537568051
0,0.666666666666667,1,9,0.9,0.0934950542708561,0.000512900804570858
0,0.666666666666667,1,9,0.95,0.12492135545449,-0.000333628736448258
0,0.666666666666667,2,1,0.85,0.0949449130303811,0.000543797397173744
0,0.666666666666667,2,1,0.95,0.145265323150276,-0.00010582208755767
0,0.666666666666667,2,10,0.85,0.0941422189471286,-0.000156461014611978
0,0.666666666666667,2,10,0.9,0.111661065393555,-0.000485229309706306
0,0.666666666666667,2,10,0.95,0.147102506123611,-0.000624265527022635
0,0.666666666666667,2,11,0.85,0.0951817883905997,0.000383550460117631
