"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"611","all","X16","dich","a2",61,0.135557219765045,-Inf,Inf,TRUE,"none",NA,NA
"62","all","X16","dich","d",62,3.42785869956579,-Inf,Inf,TRUE,"none",NA,NA
"63","all","X16","dich","g",63,0,0,1,FALSE,"none",NA,NA
"64","all","X16","dich","u",64,1,0,1,FALSE,"none",NA,NA
"65","all","X17","dich","a1",65,0.851,-Inf,Inf,TRUE,"none",NA,NA
"651","all","X17","dich","a2",65,0.681207683233325,-Inf,Inf,TRUE,"none",NA,NA
"66","all","X17","dich","d",66,3.5969122918823,-Inf,Inf,TRUE,"none",NA,NA
"67","all","X17","dich","g",67,0,0,1,FALSE,"none",NA,NA
"68","all","X17","dich","u",68,1,0,1,FALSE,"none",NA,NA
"69","all","X18","dich","a1",69,0.851,-Inf,Inf,TRUE,"none",NA,NA
"691","all","X18","dich","a2",69,0.437334610197355,-Inf,Inf,TRUE,"none",NA,NA
"70","all","X18","dich","d",70,4.29635223697462,-Inf,Inf,TRUE,"none",NA,NA
"71","all","X18","dich","g",71,0,0,1,FALSE,"none",NA,NA
"72","all","X18","dich","u",72,1,0,1,FALSE,"none",NA,NA
"73","all","X19","dich","a1",73,0.851,-Inf,Inf,TRUE,"none",NA,NA
"731","all","X19","dich","a2",73,-0.242386899298994,-Inf,Inf,TRUE,"none",NA,NA
"74","all","X19","dich","d",74,3.19535795508002,-Inf,Inf,TRUE,"none",NA,NA
"75","all","X19","dich","g",75,0,0,1,FALSE,"none",NA,NA
"76","all","X19","dich","u",76,1,0,1,FALSE,"none",NA,NA
"77","all","X20","dich","a1",77,0.851,-Inf,Inf,TRUE,"none",NA,NA
"771","all","X20","dich","a2",77,0.648067128138679,-Inf,Inf,TRUE,"none",NA,NA
"78","all","X20","dich","d",78,3.91511903183562,-Inf,Inf,TRUE,"none",NA,NA
"79","all","X20","dich","g",79,0,0,1,FALSE,"none",NA,NA
"80","all","X20","dich","u",80,1,0,1,FALSE,"none",NA,NA
"81","all","X21","dich","a1",81,0.851,-Inf,Inf,TRUE,"none",NA,NA
"811","all","X21","dich","a2",81,0.135799508699232,-Inf,Inf,TRUE,"none",NA,NA
"82","all","X21","dich","d",82,2.58495074343685,-Inf,Inf,TRUE,"none",NA,NA
"83","all","X21","dich","g",83,0,0,1,FALSE,"none",NA,NA
"84","all","X21","dich","u",84,1,0,1,FALSE,"none",NA,NA
"85","all","X22","dich","a1",85,0.851,-Inf,Inf,TRUE,"none",NA,NA
"851","all","X22","dich","a2",85,0.036539254075875,-Inf,Inf,TRUE,"none",NA,NA
"86","all","X22","dich","d",86,3.59256744314056,-Inf,Inf,TRUE,"none",NA,NA
"87","all","X22","dich","g",87,0,0,1,FALSE,"none",NA,NA
"88","all","X22","dich","u",88,1,0,1,FALSE,"none",NA,NA
"89","all","X23","dich","a1",89,0.851,-Inf,Inf,TRUE,"none",NA,NA
"891","all","X23","dich","a2",89,-0.13050393745807,-Inf,Inf,TRUE,"none",NA,NA
"90","all","X23","dich","d",90,4.24448951853832,-Inf,Inf,TRUE,"none",NA,NA
"911","all","X23","dich","g",91,0,0,1,FALSE,"none",NA,NA
"92","all","X23","dich","u",92,1,0,1,FALSE,"none",NA,NA
"93","all","X24","dich","a1",93,0.851,-Inf,Inf,TRUE,"none",NA,NA
"931","all","X24","dich","a2",93,-0.24135121777783,-Inf,Inf,TRUE,"none",NA,NA
"94","all","X24","dich","d",94,3.03232145565194,-Inf,Inf,TRUE,"none",NA,NA
"95","all","X24","dich","g",95,0,0,1,FALSE,"none",NA,NA
"96","all","X24","dich","u",96,1,0,1,FALSE,"none",NA,NA
"97","all","X25","dich","a1",97,0.851,-Inf,Inf,TRUE,"none",NA,NA
"971","all","X25","dich","a2",97,0.0366905426751493,-Inf,Inf,TRUE,"none",NA,NA
"98","all","X25","dich","d",98,3.01633113370724,-Inf,Inf,TRUE,"none",NA,NA
"99","all","X25","dich","g",99,0,0,1,FALSE,"none",NA,NA
"100","all","X25","dich","u",100,1,0,1,FALSE,"none",NA,NA
"101","all","X26","dich","a1",101,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1011","all","X26","dich","a2",101,0.155654821111318,-Inf,Inf,TRUE,"none",NA,NA
